subject,graph,method,n_channels,accuracy
1,1,1,6,0.7666666666666667
1,1,1,11,0.6333333333333333
1,1,1,13,0.888888888888889
1,1,1,14,0.888888888888889
1,1,1,17,0.9333333333333333
1,1,1,19,0.9555555555555555
1,1,1,24,0.9444444444444444
1,1,1,26,0.9555555555555555
1,1,1,30,0.9444444444444444
1,1,1,32,0.9444444444444444
1,1,1,34,0.9111111111111111
1,1,1,36,0.9222222222222222
1,1,1,37,0.9333333333333333
1,1,1,63,0.9444444444444444
1,1,1,64,0.9444444444444444
1,1,2,10,0.6777777777777778
1,1,2,15,0.7
1,1,2,20,0.9555555555555557
1,1,2,25,0.8666666666666666
1,1,2,30,0.888888888888889
1,1,2,35,0.9333333333333333
1,1,2,40,0.9444444444444444
1,1,2,45,0.9555555555555555
1,1,2,50,0.9333333333333333
1,1,2,55,0.9444444444444444
1,1,2,60,0.9333333333333333
1,1,2,64,0.9444444444444444
1,1,3,10,0.611111111111111
1,1,3,15,0.8444444444444444
1,1,3,20,0.9
1,1,3,25,0.9111111111111111
1,1,3,30,0.9444444444444444
1,1,3,35,0.9222222222222222
1,1,3,40,0.9111111111111111
1,1,3,45,0.9333333333333333
1,1,3,50,0.9333333333333333
1,1,3,55,0.9444444444444444
1,1,3,60,0.9333333333333333
1,1,3,64,0.9444444444444444
2,1,1,6,0.7444444444444445
2,1,1,11,0.9333333333333332
2,1,1,13,0.9666666666666666
2,1,1,14,0.9666666666666666
2,1,1,17,1.0
2,1,1,19,1.0
2,1,1,24,0.9888888888888889
2,1,1,26,1.0
2,1,1,30,1.0
2,1,1,32,1.0
2,1,1,34,1.0
2,1,1,36,1.0
2,1,1,37,1.0
2,1,1,63,1.0
2,1,1,64,1.0
2,1,2,10,0.9666666666666666
2,1,2,15,0.9777777777777779
2,1,2,20,0.9888888888888889
2,1,2,25,0.9888888888888889
2,1,2,30,0.9888888888888889
2,1,2,35,0.9888888888888889
2,1,2,40,1.0
2,1,2,45,1.0
2,1,2,50,1.0
2,1,2,55,1.0
2,1,2,60,1.0
2,1,2,64,1.0
2,1,3,10,0.8555555555555555
2,1,3,15,0.9111111111111111
2,1,3,20,0.9555555555555555
2,1,3,25,1.0
2,1,3,30,1.0
2,1,3,35,0.9888888888888889
2,1,3,40,1.0
2,1,3,45,1.0
2,1,3,50,1.0
2,1,3,55,1.0
2,1,3,60,1.0
2,1,3,64,1.0
3,1,1,6,0.5222222222222224
3,1,1,11,0.5777777777777777
3,1,1,13,0.5888888888888889
3,1,1,14,0.611111111111111
3,1,1,17,0.6777777777777778
3,1,1,19,0.5777777777777777
3,1,1,24,0.5888888888888889
3,1,1,26,0.5111111111111112
3,1,1,30,0.5444444444444445
3,1,1,32,0.4888888888888888
3,1,1,34,0.5333333333333334
3,1,1,36,0.5777777777777777
3,1,1,37,0.5444444444444445
3,1,1,63,0.5333333333333334
3,1,1,64,0.5333333333333334
3,1,2,10,0.5333333333333333
3,1,2,15,0.45555555555555555
3,1,2,20,0.5222222222222224
3,1,2,25,0.6111111111111113
3,1,2,30,0.5555555555555556
3,1,2,35,0.5666666666666667
3,1,2,40,0.5111111111111111
3,1,2,45,0.5222222222222223
3,1,2,50,0.5
3,1,2,55,0.5666666666666667
3,1,2,60,0.5111111111111111
3,1,2,64,0.5333333333333334
3,1,3,10,0.6777777777777778
3,1,3,15,0.4333333333333333
3,1,3,20,0.4999999999999999
3,1,3,25,0.6111111111111112
3,1,3,30,0.5444444444444445
3,1,3,35,0.5
3,1,3,40,0.5444444444444445
3,1,3,45,0.5777777777777777
3,1,3,50,0.5666666666666668
3,1,3,55,0.4999999999999999
3,1,3,60,0.5666666666666667
3,1,3,64,0.5333333333333334
4,1,1,6,0.8666666666666668
4,1,1,11,0.8333333333333334
4,1,1,13,0.888888888888889
4,1,1,14,0.9
4,1,1,17,0.8555555555555555
4,1,1,19,0.8777777777777779
4,1,1,24,0.9111111111111111
4,1,1,26,0.9111111111111111
4,1,1,30,0.9333333333333332
4,1,1,32,0.9666666666666666
4,1,1,34,0.9444444444444444
4,1,1,36,0.9444444444444444
4,1,1,37,0.9444444444444444
4,1,1,63,0.9555555555555555
4,1,1,64,0.9555555555555555
4,1,2,10,0.9111111111111111
4,1,2,15,0.9555555555555555
4,1,2,20,0.9444444444444444
4,1,2,25,0.9777777777777779
4,1,2,30,0.9555555555555555
4,1,2,35,0.9666666666666666
4,1,2,40,0.9666666666666666
4,1,2,45,0.9444444444444444
4,1,2,50,0.9888888888888889
4,1,2,55,0.9888888888888889
4,1,2,60,0.9666666666666666
4,1,2,64,0.9555555555555555
4,1,3,10,0.8777777777777779
4,1,3,15,0.9333333333333333
4,1,3,20,0.9666666666666666
4,1,3,25,0.9555555555555555
4,1,3,30,0.9555555555555555
4,1,3,35,0.9777777777777779
4,1,3,40,0.9888888888888889
4,1,3,45,0.9777777777777779
4,1,3,50,0.9333333333333332
4,1,3,55,0.9444444444444444
4,1,3,60,0.9666666666666666
4,1,3,64,0.9555555555555555
5,1,1,6,0.5777777777777777
5,1,1,11,0.5777777777777778
5,1,1,13,0.5555555555555556
5,1,1,14,0.6222222222222222
5,1,1,17,0.6555555555555557
5,1,1,19,0.6666666666666667
5,1,1,24,0.6444444444444444
5,1,1,26,0.7
5,1,1,30,0.6444444444444446
5,1,1,32,0.6111111111111112
5,1,1,34,0.6111111111111112
5,1,1,36,0.6555555555555556
5,1,1,37,0.6555555555555556
5,1,1,63,0.6
5,1,1,64,0.6
5,1,2,10,0.5666666666666667
5,1,2,15,0.4999999999999999
5,1,2,20,0.47777777777777775
5,1,2,25,0.6222222222222223
5,1,2,30,0.6222222222222223
5,1,2,35,0.6
5,1,2,40,0.5111111111111111
5,1,2,45,0.5333333333333334
5,1,2,50,0.5666666666666667
5,1,2,55,0.6555555555555557
5,1,2,60,0.5777777777777778
5,1,2,64,0.6
5,1,3,10,0.5555555555555556
5,1,3,15,0.5555555555555556
5,1,3,20,0.5777777777777778
