subject,graph,method,n_channels,accuracy
1,1,1,3,0.475
1,1,1,4,0.4333333333333333
1,1,1,5,0.425
1,1,1,7,0.5666666666666667
1,1,1,8,0.775
1,1,1,9,0.7416666666666666
1,1,1,11,0.7583333333333333
1,1,1,12,0.8
1,1,1,13,0.7916666666666667
1,1,1,14,0.775
1,1,1,16,0.7333333333333333
1,1,1,18,0.7083333333333334
1,1,1,20,0.7000000000000001
1,1,1,22,0.6583333333333334
1,1,1,29,0.6666666666666666
1,1,1,30,0.6666666666666666
1,1,2,3,0.5
1,1,2,6,0.5583333333333333
1,1,2,9,0.5166666666666667
1,1,2,12,0.6749999999999999
1,1,2,15,0.6416666666666667
1,1,2,18,0.6666666666666667
1,1,2,21,0.6583333333333333
1,1,2,24,0.675
1,1,2,27,0.725
1,1,2,30,0.6666666666666666
1,1,2,30,0.6666666666666666
1,1,3,3,0.4083333333333333
1,1,3,6,0.6333333333333334
1,1,3,9,0.675
1,1,3,12,0.6083333333333334
1,1,3,15,0.6749999999999999
1,1,3,18,0.5916666666666667
1,1,3,21,0.6416666666666667
1,1,3,24,0.65
1,1,3,27,0.6416666666666667
1,1,3,30,0.6666666666666666
1,1,3,30,0.6666666666666666
2,1,1,3,0.7083333333333333
2,1,1,4,0.7166666666666667
2,1,1,5,0.725
2,1,1,7,0.7333333333333333
2,1,1,8,0.6916666666666667
2,1,1,9,0.6833333333333333
2,1,1,11,0.7
2,1,1,12,0.6666666666666667
2,1,1,13,0.6833333333333333
2,1,1,14,0.6583333333333334
2,1,1,16,0.6583333333333333
2,1,1,18,0.6583333333333333
2,1,1,20,0.6333333333333333
2,1,1,22,0.6333333333333332
2,1,1,29,0.6083333333333334
2,1,1,30,0.6083333333333334
2,1,2,3,0.5
2,1,2,6,0.45000000000000007
2,1,2,9,0.525
2,1,2,12,0.5666666666666667
2,1,2,15,0.6583333333333334
2,1,2,18,0.5166666666666667
2,1,2,21,0.5916666666666666
2,1,2,24,0.5999999999999999
2,1,2,27,0.6583333333333333
2,1,2,30,0.6083333333333334
2,1,2,30,0.6083333333333334
2,1,3,3,0.4833333333333333
2,1,3,6,0.5916666666666668
2,1,3,9,0.6500000000000001
2,1,3,12,0.5916666666666667
2,1,3,15,0.6
2,1,3,18,0.6333333333333333
2,1,3,21,0.6583333333333333
2,1,3,24,0.6416666666666667
2,1,3,27,0.5833333333333333
2,1,3,30,0.6083333333333334
2,1,3,30,0.6083333333333334
3,1,1,3,0.4833333333333334
3,1,1,4,0.4333333333333333
3,1,1,5,0.42499999999999993
3,1,1,7,0.4416666666666667
3,1,1,8,0.5666666666666667
3,1,1,9,0.55
3,1,1,11,0.65
3,1,1,12,0.6
3,1,1,13,0.5583333333333333
3,1,1,14,0.6000000000000001
3,1,1,16,0.5583333333333333
3,1,1,18,0.6166666666666666
3,1,1,20,0.5916666666666666
3,1,1,22,0.55
3,1,1,29,0.5833333333333333
3,1,1,30,0.5833333333333333
3,1,2,3,0.5249999999999999
3,1,2,6,0.5
3,1,2,9,0.6249999999999999
3,1,2,12,0.5916666666666666
3,1,2,15,0.5666666666666667
3,1,2,18,0.575
3,1,2,21,0.5833333333333334
3,1,2,24,0.6
3,1,2,27,0.5833333333333334
3,1,2,30,0.5833333333333333
3,1,2,30,0.5833333333333333
3,1,3,3,0.5166666666666667
3,1,3,6,0.55
3,1,3,9,0.5333333333333333
3,1,3,12,0.5416666666666666
3,1,3,15,0.5666666666666668
3,1,3,18,0.55
3,1,3,21,0.575
3,1,3,24,0.5833333333333333
3,1,3,27,0.5916666666666667
3,1,3,30,0.5833333333333333
3,1,3,30,0.5833333333333333
4,1,1,3,0.4916666666666667
4,1,1,4,0.45
4,1,1,5,0.5166666666666667
4,1,1,7,0.5750000000000001
4,1,1,8,0.5750000000000001
4,1,1,9,0.5833333333333333
4,1,1,11,0.5583333333333333
4,1,1,12,0.4833333333333333
4,1,1,13,0.6
4,1,1,14,0.6333333333333333
4,1,1,16,0.575
4,1,1,18,0.5916666666666667
4,1,1,20,0.55
4,1,1,22,0.5666666666666667
4,1,1,29,0.7166666666666666
4,1,1,30,0.7166666666666666
4,1,2,3,0.5666666666666667
4,1,2,6,0.5
4,1,2,9,0.575
4,1,2,12,0.5166666666666667
4,1,2,15,0.55
4,1,2,18,0.6250000000000001
4,1,2,21,0.65
4,1,2,24,0.7000000000000001
4,1,2,27,0.7166666666666667
4,1,2,30,0.7166666666666666
4,1,2,30,0.7166666666666666
4,1,3,3,0.4916666666666666
4,1,3,6,0.5000000000000001
4,1,3,9,0.5333333333333333
4,1,3,12,0.525
4,1,3,15,0.5416666666666667
4,1,3,18,0.625
4,1,3,21,0.6250000000000001
4,1,3,24,0.6250000000000001
4,1,3,27,0.6916666666666667
4,1,3,30,0.7166666666666666
4,1,3,30,0.7166666666666666
5,1,1,3,0.45
5,1,1,4,0.45833333333333337
5,1,1,5,0.5416666666666666
5,1,1,7,0.525
5,1,1,8,0.5833333333333333
5,1,1,9,0.6083333333333333
5,1,1,11,0.6333333333333333
5,1,1,12,0.65
5,1,1,13,0.6416666666666666
5,1,1,14,0.6416666666666666
5,1,1,16,0.6333333333333334
5,1,1,18,0.6166666666666666
5,1,1,20,0.6083333333333334
5,1,1,22,0.5833333333333333
5,1,1,29,0.5333333333333334
5,1,1,30,0.5333333333333334
5,1,2,3,0.29166666666666663
5,1,2,6,0.3416666666666667
5,1,2,9,0.3583333333333333
5,1,2,12,0.4333333333333334
5,1,2,15,0.5583333333333333
5,1,2,18,0.6166666666666666
5,1,2,21,0.5833333333333334
5,1,2,24,0.625
5,1,2,27,0.6083333333333333
5,1,2,30,0.5333333333333334
5,1,2,30,0.5333333333333334
5,1,3,3,0.375
5,1,3,6,0.5666666666666667
5,1,3,9,0.5916666666666667
5,1,3,12,0.6
5,1,3,15,0.5999999999999999
5,1,3,18,0.5583333333333333
5,1,3,21,0.6083333333333334
5,1,3,24,0.6666666666666667
5,1,3,27,0.6083333333333333
5,1,3,30,0.5333333333333334
5,1,3,30,0.5333333333333334
6,1,1,3,0.5916666666666666
6,1,1,4,0.5583333333333333
6,1,1,5,0.6583333333333333
6,1,1,7,0.6583333333333333
6,1,1,8,0.7166666666666666
6,1,1,9,0.6333333333333334
6,1,1,11,0.7416666666666667
6,1,1,12,0.6416666666666667
6,1,1,13,0.6916666666666667
6,1,1,14,0.7166666666666667
6,1,1,16,0.6333333333333334
6,1,1,18,0.6
6,1,1,20,0.6666666666666667
6,1,1,22,0.6416666666666666
6,1,1,29,0.55
6,1,1,30,0.55
6,1,2,3,0.5583333333333333
6,1,2,6,0.6749999999999999
6,1,2,9,0.7166666666666666
6,1,2,12,0.55
6,1,2,15,0.5583333333333333
6,1,2,18,0.475
6,1,2,21,0.5916666666666666
6,1,2,24,0.575
6,1,2,27,0.6166666666666666
6,1,2,30,0.55
6,1,2,30,0.55
6,1,3,3,0.5416666666666667
6,1,3,6,0.6416666666666667
6,1,3,9,0.6083333333333333
6,1,3,12,0.6
6,1,3,15,0.5583333333333333
6,1,3,18,0.5666666666666667
6,1,3,21,0.5916666666666667
6,1,3,24,0.5666666666666667
6,1,3,27,0.5833333333333334
6,1,3,30,0.55
6,1,3,30,0.55
7,1,1,3,0.5583333333333333
7,1,1,4,0.5583333333333333
7,1,1,5,0.5583333333333333
7,1,1,7,0.6416666666666666
7,1,1,8,0.625
7,1,1,9,0.625
7,1,1,11,0.575
7,1,1,12,0.5416666666666667
7,1,1,13,0.55
7,1,1,14,0.5833333333333334
7,1,1,16,0.5083333333333333
7,1,1,18,0.5166666666666666
7,1,1,20,0.5
7,1,1,22,0.5166666666666667
7,1,1,29,0.45833333333333337
7,1,1,30,0.45833333333333337
7,1,2,3,0.45000000000000007
7,1,2,6,0.4833333333333334
7,1,2,9,0.5666666666666667
7,1,2,12,0.5416666666666666
7,1,2,15,0.5666666666666667
7,1,2,18,0.5416666666666667
7,1,2,21,0.55
7,1,2,24,0.55
7,1,2,27,0.5
7,1,2,30,0.45833333333333337
7,1,2,30,0.45833333333333337
7,1,3,3,0.41666666666666663
7,1,3,6,0.5333333333333332
7,1,3,9,0.5083333333333333
7,1,3,12,0.4916666666666667
7,1,3,15,0.4916666666666666
7,1,3,18,0.5583333333333333
7,1,3,21,0.55
7,1,3,24,0.5583333333333333
7,1,3,27,0.475
7,1,3,30,0.45833333333333337
7,1,3,30,0.45833333333333337
8,1,1,3,0.4750000000000001
8,1,1,4,0.4416666666666666
8,1,1,5,0.5083333333333333
8,1,1,7,0.5
8,1,1,8,0.5833333333333333
8,1,1,9,0.5833333333333333
8,1,1,11,0.5583333333333333
8,1,1,12,0.625
8,1,1,13,0.7166666666666666
8,1,1,14,0.7249999999999999
8,1,1,16,0.7166666666666666
8,1,1,18,0.6916666666666667
8,1,1,20,0.7
8,1,1,22,0.6333333333333334
8,1,1,29,0.7
8,1,1,30,0.7
8,1,2,3,0.425
8,1,2,6,0.4416666666666667
8,1,2,9,0.45833333333333337
8,1,2,12,0.6583333333333333
8,1,2,15,0.6916666666666667
8,1,2,18,0.65
8,1,2,21,0.7083333333333333
8,1,2,24,0.7666666666666667
8,1,2,27,0.7166666666666667
8,1,2,30,0.7
8,1,2,30,0.7
8,1,3,3,0.45
8,1,3,6,0.5083333333333333
8,1,3,9,0.5666666666666667
8,1,3,12,0.6083333333333333
8,1,3,15,0.6416666666666666
8,1,3,18,0.5916666666666667
8,1,3,21,0.6416666666666666
8,1,3,24,0.6583333333333333
8,1,3,27,0.6666666666666667
8,1,3,30,0.7
8,1,3,30,0.7
9,1,1,3,0.4166666666666667
9,1,1,4,0.6666666666666667
9,1,1,5,0.675
9,1,1,7,0.725
9,1,1,8,0.8666666666666666
9,1,1,9,0.8333333333333333
9,1,1,11,0.8416666666666666
9,1,1,12,0.8083333333333332
9,1,1,13,0.825
9,1,1,14,0.85
9,1,1,16,0.7916666666666666
9,1,1,18,0.7916666666666667
9,1,1,20,0.825
9,1,1,22,0.85
9,1,1,29,0.9083333333333334
9,1,1,30,0.9083333333333334
9,1,2,3,0.5499999999999999
9,1,2,6,0.6333333333333334
9,1,2,9,0.7916666666666666
9,1,2,12,0.8833333333333334
9,1,2,15,0.8666666666666666
9,1,2,18,0.9250000000000002
9,1,2,21,0.9
9,1,2,24,0.9166666666666666
9,1,2,27,0.875
9,1,2,30,0.9083333333333334
9,1,2,30,0.9083333333333334
9,1,3,3,0.6916666666666667
9,1,3,6,0.8083333333333333
9,1,3,9,0.85
9,1,3,12,0.8833333333333334
9,1,3,15,0.8666666666666666
9,1,3,18,0.825
9,1,3,21,0.8749999999999998
9,1,3,24,0.8666666666666668
9,1,3,27,0.9166666666666666
9,1,3,30,0.9083333333333334
9,1,3,30,0.9083333333333334
10,1,1,3,0.5333333333333334
10,1,1,4,0.4916666666666667
10,1,1,5,0.4416666666666667
10,1,1,7,0.5
10,1,1,8,0.55
10,1,1,9,0.55
10,1,1,11,0.525
10,1,1,12,0.4916666666666667
10,1,1,13,0.55
10,1,1,14,0.4916666666666668
10,1,1,16,0.4833333333333333
10,1,1,18,0.5000000000000001
10,1,1,20,0.5
10,1,1,22,0.5833333333333334
10,1,1,29,0.6166666666666666
10,1,1,30,0.6166666666666666
10,1,2,3,0.4833333333333333
10,1,2,6,0.5083333333333333
10,1,2,9,0.5416666666666666
10,1,2,12,0.5333333333333334
10,1,2,15,0.5083333333333334
10,1,2,18,0.6
10,1,2,21,0.6416666666666667
10,1,2,24,0.625
10,1,2,27,0.6333333333333334
10,1,2,30,0.6166666666666666
10,1,2,30,0.6166666666666666
10,1,3,3,0.45833333333333337
10,1,3,6,0.5166666666666666
10,1,3,9,0.4583333333333333
10,1,3,12,0.5333333333333334
10,1,3,15,0.5333333333333333
10,1,3,18,0.6250000000000001
10,1,3,21,0.475
10,1,3,24,0.5416666666666667
10,1,3,27,0.65
