subject,graph,method,n_channels,accuracy
1,1,1,3,0.7
1,1,1,4,0.6916666666666667
1,1,1,5,0.725
1,1,1,7,0.7166666666666667
1,1,1,8,0.75
1,1,1,9,0.75
1,1,1,11,0.725
1,1,1,12,0.8166666666666667
1,1,1,13,0.9166666666666666
1,1,1,14,0.9083333333333334
1,1,1,16,0.8833333333333334
1,1,1,18,0.85
1,1,1,20,0.875
1,1,1,22,0.8166666666666667
1,1,1,29,0.8666666666666668
1,1,1,30,0.8583333333333332
1,1,2,3,0.375
1,1,2,6,0.7500000000000001
1,1,2,9,0.7666666666666667
1,1,2,12,0.7916666666666666
1,1,2,15,0.8583333333333334
1,1,2,18,0.8166666666666668
1,1,2,21,0.7916666666666667
1,1,2,24,0.825
1,1,2,27,0.775
1,1,2,30,0.8583333333333332
1,1,2,30,0.8583333333333332
1,1,3,3,0.6333333333333334
1,1,3,6,0.725
1,1,3,9,0.8
1,1,3,12,0.8083333333333333
1,1,3,15,0.7833333333333333
1,1,3,18,0.8166666666666667
1,1,3,21,0.8083333333333333
1,1,3,24,0.7916666666666666
1,1,3,27,0.7333333333333334
1,1,3,30,0.8583333333333332
1,1,3,30,0.8583333333333332
2,1,1,3,0.6416666666666666
2,1,1,4,0.6416666666666666
2,1,1,5,0.775
2,1,1,7,0.7999999999999999
2,1,1,8,0.7166666666666666
2,1,1,9,0.7083333333333333
2,1,1,11,0.8
2,1,1,12,0.8
2,1,1,13,0.8666666666666666
2,1,1,14,0.9333333333333333
2,1,1,16,0.8916666666666666
2,1,1,18,0.8583333333333334
2,1,1,20,0.8083333333333333
2,1,1,22,0.8416666666666666
2,1,1,29,0.825
2,1,1,30,0.825
2,1,2,3,0.6166666666666666
2,1,2,6,0.7833333333333333
2,1,2,9,0.8833333333333334
2,1,2,12,0.7916666666666666
2,1,2,15,0.8666666666666668
2,1,2,18,0.8083333333333333
2,1,2,21,0.7750000000000001
2,1,2,24,0.825
2,1,2,27,0.8333333333333334
2,1,2,30,0.825
2,1,2,30,0.825
2,1,3,3,0.7083333333333333
2,1,3,6,0.725
