subject,graph,method,n_channels,accuracy
aa,1,1,12,0.7303571428571428
aa,1,1,17,0.7285714285714285
aa,1,1,22,0.7839285714285714
aa,1,1,26,0.7749999999999999
aa,1,1,30,0.8392857142857144
aa,1,1,36,0.8392857142857142
aa,1,1,40,0.8285714285714286
aa,1,1,46,0.8303571428571429
aa,1,1,51,0.8303571428571429
aa,1,1,55,0.8196428571428571
aa,1,1,65,0.8303571428571429
aa,1,1,68,0.8232142857142858
aa,1,1,71,0.8089285714285713
aa,1,1,75,0.8303571428571429
aa,1,1,79,0.8392857142857144
aa,1,1,117,0.8142857142857143
aa,1,1,117,0.8142857142857143
aa,1,2,10,0.6321428571428571
aa,1,2,15,0.6571428571428573
aa,1,2,20,0.7321428571428572
aa,1,2,25,0.7607142857142857
aa,1,2,30,0.7321428571428571
aa,1,2,35,0.7749999999999999
aa,1,2,40,0.7803571428571429
aa,1,2,45,0.7571428571428572
aa,1,2,50,0.7910714285714285
aa,1,2,55,0.8232142857142858
aa,1,2,60,0.8178571428571428
aa,1,2,65,0.825
aa,1,2,70,0.8160714285714284
aa,1,2,75,0.8107142857142857
aa,1,2,80,0.8017857142857142
aa,1,2,85,0.8017857142857142
aa,1,2,90,0.8142857142857143
aa,1,2,95,0.8124999999999998
aa,1,2,100,0.8214285714285715
aa,1,2,105,0.8285714285714285
aa,1,2,110,0.8142857142857143
aa,1,2,115,0.8125
aa,1,2,117,0.8142857142857143
aa,1,3,10,0.6053571428571428
aa,1,3,15,0.6321428571428571
aa,1,3,20,0.7589285714285714
aa,1,3,25,0.8446428571428569
aa,1,3,30,0.8214285714285715
aa,1,3,35,0.8053571428571429
aa,1,3,40,0.8392857142857142
aa,1,3,45,0.8214285714285714
aa,1,3,50,0.8232142857142858
aa,1,3,55,0.8357142857142857
aa,1,3,60,0.8410714285714287
aa,1,3,65,0.8321428571428571
aa,1,3,70,0.825
aa,1,3,75,0.8357142857142857
aa,1,3,80,0.8464285714285715
aa,1,3,85,0.8410714285714285
aa,1,3,90,0.8375
aa,1,3,95,0.8410714285714287
aa,1,3,100,0.8339285714285716
aa,1,3,105,0.8410714285714287
aa,1,3,110,0.8392857142857142
aa,1,3,115,0.8178571428571428
aa,1,3,117,0.8142857142857143
al,1,1,12,0.8892857142857142
al,1,1,17,0.9089285714285713
al,1,1,22,0.9696428571428571
al,1,1,26,0.9642857142857144
al,1,1,30,0.9642857142857142
al,1,1,36,0.9767857142857143
al,1,1,40,0.9839285714285714
al,1,1,46,0.9767857142857143
al,1,1,51,0.9821428571428571
al,1,1,55,0.9821428571428571
al,1,1,65,0.9821428571428571
al,1,1,68,0.9821428571428571
