subject,graph,method,n_channels,accuracy
al,1,1,12,0.8452380952380952
al,1,1,17,0.8857142857142856
al,1,1,22,0.9428571428571428
al,1,1,26,0.9619047619047618
al,1,1,30,0.9571428571428571
al,1,1,36,0.9642857142857142
al,1,1,40,0.9690476190476189
al,1,1,46,0.9714285714285713
al,1,1,51,0.9714285714285713
al,1,1,55,0.9714285714285713
al,1,1,65,0.9714285714285713
al,1,1,68,0.9714285714285713
al,1,1,71,0.9690476190476189
al,1,1,75,0.976190476190476
al,1,1,79,0.9714285714285713
al,1,1,117,0.976190476190476
al,1,1,117,0.976190476190476
al,1,2,10,0.7119047619047619
al,1,2,15,0.7595238095238096
al,1,2,20,0.9166666666666666
al,1,2,25,0.9357142857142857
al,1,2,30,0.930952380952381
al,1,2,35,0.930952380952381
al,1,2,40,0.9714285714285713
al,1,2,45,0.9619047619047618
al,1,2,50,0.9714285714285713
al,1,2,55,0.9785714285714286
al,1,2,60,0.9738095238095237
al,1,2,65,0.9690476190476189
al,1,2,70,0.9714285714285713
al,1,2,75,0.9714285714285713
al,1,2,80,0.976190476190476
al,1,2,85,0.9785714285714286
al,1,2,90,0.980952380952381
al,1,2,95,0.976190476190476
al,1,2,100,0.9785714285714286
al,1,2,105,0.9690476190476189
al,1,2,110,0.976190476190476
al,1,2,115,0.976190476190476
al,1,2,117,0.976190476190476
al,1,3,10,0.7523809523809524
al,1,3,15,0.7976190476190476
al,1,3,20,0.8833333333333332
al,1,3,25,0.9190476190476191
al,1,3,30,0.9619047619047618
al,1,3,35,0.9595238095238094
al,1,3,40,0.9619047619047618
al,1,3,45,0.9642857142857142
al,1,3,50,0.9666666666666666
al,1,3,55,0.9714285714285713
al,1,3,60,0.9690476190476189
al,1,3,65,0.9690476190476189
al,1,3,70,0.9714285714285713
al,1,3,75,0.9714285714285713
al,1,3,80,0.9714285714285713
al,1,3,85,0.9714285714285713
al,1,3,90,0.9785714285714286
al,1,3,95,0.9785714285714286
al,1,3,100,0.9738095238095237
al,1,3,105,0.9738095238095237
al,1,3,110,0.9738095238095237
al,1,3,115,0.976190476190476
al,1,3,117,0.976190476190476
al,2,1,10,0.9404761904761905
al,2,1,16,0.9619047619047618
al,2,1,21,0.9666666666666666
al,2,1,27,0.9738095238095237
al,2,1,31,0.9690476190476189
al,2,1,35,0.9690476190476189
al,2,1,42,0.9785714285714286
al,2,1,47,0.9714285714285713
al,2,1,53,0.9714285714285713
al,2,1,57,0.9714285714285713
al,2,1,62,0.9761904761904763
al,2,1,67,0.9714285714285713
al,2,1,75,0.976190476190476
al,2,1,81,0.9738095238095237
al,2,1,84,0.9738095238095237
al,2,1,91,0.9738095238095237
al,2,1,92,0.9714285714285713
al,2,1,117,0.976190476190476
al,2,1,117,0.976190476190476
al,2,2,10,0.730952380952381
al,2,2,15,0.7809523809523811
al,2,2,20,0.8857142857142858
al,2,2,25,0.8714285714285713
al,2,2,30,0.9333333333333333
al,2,2,35,0.9619047619047618
al,2,2,40,0.9547619047619047
al,2,2,45,0.9571428571428571
al,2,2,50,0.9523809523809523
al,2,2,55,0.9642857142857142
al,2,2,60,0.9738095238095237
al,2,2,65,0.9785714285714284
al,2,2,70,0.9785714285714284
al,2,2,75,0.980952380952381
al,2,2,80,0.9785714285714284
al,2,2,85,0.9833333333333334
al,2,2,90,0.9761904761904763
al,2,2,95,0.980952380952381
al,2,2,100,0.9785714285714284
al,2,2,105,0.9738095238095237
al,2,2,110,0.9785714285714286
al,2,2,115,0.976190476190476
al,2,2,117,0.976190476190476
al,2,3,10,0.8547619047619047
al,2,3,15,0.9023809523809524
al,2,3,20,0.9428571428571428
al,2,3,25,0.9428571428571428
al,2,3,30,0.9595238095238094
al,2,3,35,0.95
al,2,3,40,0.9666666666666666
al,2,3,45,0.9619047619047618
al,2,3,50,0.9666666666666666
al,2,3,55,0.9690476190476189
al,2,3,60,0.9738095238095237
al,2,3,65,0.9714285714285713
al,2,3,70,0.9666666666666666
al,2,3,75,0.9666666666666666
al,2,3,80,0.9714285714285713
al,2,3,85,0.976190476190476
al,2,3,90,0.9690476190476189
al,2,3,95,0.9714285714285713
al,2,3,100,0.9690476190476189
al,2,3,105,0.9738095238095237
al,2,3,110,0.9738095238095237
al,2,3,115,0.976190476190476
al,2,3,117,0.976190476190476
al,3,1,10,0.8904761904761903
al,3,1,16,0.9404761904761905
al,3,1,21,0.95
al,3,1,26,0.9595238095238094
al,3,1,32,0.9619047619047618
al,3,1,38,0.9666666666666666
al,3,1,43,0.9619047619047618
al,3,1,49,0.9714285714285713
al,3,1,54,0.9714285714285713
al,3,1,60,0.9690476190476189
al,3,1,66,0.9785714285714284
al,3,1,73,0.9761904761904763
al,3,1,77,0.976190476190476
al,3,1,84,0.976190476190476
al,3,1,90,0.9833333333333334
al,3,1,97,0.9857142857142858
al,3,1,103,0.9738095238095237
al,3,1,117,0.976190476190476
al,3,1,117,0.976190476190476
al,3,2,10,0.6976190476190476
al,3,2,15,0.7666666666666666
al,3,2,20,0.7857142857142857
al,3,2,25,0.9166666666666666
al,3,2,30,0.9238095238095237
al,3,2,35,0.9357142857142857
al,3,2,40,0.9214285714285715
al,3,2,45,0.930952380952381
al,3,2,50,0.9690476190476189
al,3,2,55,0.9666666666666668
al,3,2,60,0.9666666666666666
al,3,2,65,0.9666666666666666
al,3,2,70,0.9714285714285713
al,3,2,75,0.976190476190476
al,3,2,80,0.9785714285714284
al,3,2,85,0.9785714285714286
al,3,2,90,0.9785714285714286
al,3,2,95,0.9714285714285713
al,3,2,100,0.9738095238095237
al,3,2,105,0.976190476190476
al,3,2,110,0.9714285714285713
al,3,2,115,0.976190476190476
al,3,2,117,0.976190476190476
al,3,3,10,0.8071428571428572
al,3,3,15,0.9119047619047619
al,3,3,20,0.9523809523809523
al,3,3,25,0.9571428571428571
al,3,3,30,0.9523809523809523
al,3,3,35,0.9523809523809523
al,3,3,40,0.9642857142857142
al,3,3,45,0.9714285714285713
al,3,3,50,0.9642857142857142
al,3,3,55,0.9714285714285713
al,3,3,60,0.9714285714285713
al,3,3,65,0.9738095238095237
al,3,3,70,0.9619047619047618
al,3,3,75,0.9690476190476189
al,3,3,80,0.9738095238095237
al,3,3,85,0.9714285714285713
al,3,3,90,0.9690476190476189
al,3,3,95,0.9690476190476189
al,3,3,100,0.9690476190476189
al,3,3,105,0.9666666666666666
al,3,3,110,0.9738095238095237
al,3,3,115,0.976190476190476
al,3,3,117,0.976190476190476
